Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 128, Duration: 17577, LB: 5139030.6765890885, (exp UB:4891536.188436993),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 129, Duration: 17727, LB: 5139030.676589087, (exp UB:4889669.727836542),  Gap: -5.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 130, Duration: 17906, LB: 5139030.676589085, (exp UB:4891790.549384329),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 131, Duration: 18100, LB: 5139030.676589083, (exp UB:4890843.426899341),  Gap: -5.07,  Fixed x: True,  Fixed thetavar: True  
Iteration: 132, Duration: 18277, LB: 5139030.676589081, (exp UB:4892446.243007746),  Gap: -5.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 133, Duration: 18472, LB: 5139030.676589079, (exp UB:4891404.971700496),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 134, Duration: 18633, LB: 5139030.676589077, (exp UB:4892676.551891173),  Gap: -5.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 135, Duration: 18794, LB: 5139030.6765890755, (exp UB:4896374.853034567),  Gap: -4.96,  Fixed x: True,  Fixed thetavar: True  
Iteration: 136, Duration: 18991, LB: 5139030.676589074, (exp UB:5109399.323526089),  Gap: -0.58,  Fixed x: True,  Fixed thetavar: True  
Iteration: 137, Duration: 19186, LB: 5139030.676589072, (exp UB:5236104.86224516),  Gap: 1.85,  Fixed x: True,  Fixed thetavar: True  
Iteration: 138, Duration: 19351, LB: 5139030.67658907, (exp UB:4896780.963624394),  Gap: -4.95,  Fixed x: True,  Fixed thetavar: True  
Iteration: 139, Duration: 19516, LB: 5139030.676589068, (exp UB:4890169.584330852),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 140, Duration: 19665, LB: 5139030.676589066, (exp UB:4890331.466744018),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 141, Duration: 19857, LB: 5139030.676589064, (exp UB:4890365.134038121),  Gap: -5.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 142, Duration: 20020, LB: 5139030.676589062, (exp UB:4892204.661386512),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 143, Duration: 20205, LB: 5139030.676589061, (exp UB:4892172.3358695395),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 144, Duration: 20349, LB: 5139030.676589059, (exp UB:4891536.188436993),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 145, Duration: 20518, LB: 5139030.676589057, (exp UB:4890141.824751648),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 146, Duration: 20687, LB: 5139030.676589055, (exp UB:4891314.3213368775),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 147, Duration: 20874, LB: 5139030.676589053, (exp UB:4889687.694622329),  Gap: -5.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 148, Duration: 21064, LB: 5139030.676589051, (exp UB:4890289.130214075),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 149, Duration: 21204, LB: 5139030.676589049, (exp UB:4890289.130214075),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 150, Duration: 21388, LB: 5139030.676589048, (exp UB:4890521.492957586),  Gap: -5.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 151, Duration: 21570, LB: 5139030.676589046, (exp UB:5487325.995401098),  Gap: 6.35,  Fixed x: True,  Fixed thetavar: True  
Iteration: 152, Duration: 21778, LB: 5139030.676589044, (exp UB:4894467.15161838),  Gap: -5.00,  Fixed x: True,  Fixed thetavar: True  
Iteration: 153, Duration: 21916, LB: 5139030.676589042, (exp UB:4891844.872697151),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 154, Duration: 22080, LB: 5139030.67658904, (exp UB:4889957.8071214035),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 155, Duration: 22291, LB: 5139030.676589038, (exp UB:4889687.694622331),  Gap: -5.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 156, Duration: 22494, LB: 5139030.676589036, (exp UB:4892059.963694462),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 157, Duration: 22628, LB: 5139030.6765890345, (exp UB:4890169.584330852),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 158, Duration: 22818, LB: 5139030.676589033, (exp UB:4891314.3213368775),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 159, Duration: 22953, LB: 5139030.676589031, (exp UB:4889599.21505451),  Gap: -5.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 160, Duration: 23104, LB: 5139030.676589029, (exp UB:4891529.970206968),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 161, Duration: 23278, LB: 5139030.676589027, (exp UB:5036559.810974986),  Gap: -2.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 162, Duration: 23439, LB: 5139030.676589025, (exp UB:4890242.044175051),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 163, Duration: 23619, LB: 5139030.676589023, (exp UB:4891404.971700496),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 164, Duration: 23805, LB: 5139030.676589021, (exp UB:4888061.700067488),  Gap: -5.13,  Fixed x: True,  Fixed thetavar: True  
Iteration: 165, Duration: 23979, LB: 5139030.67658902, (exp UB:4891790.549384329),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 166, Duration: 24178, LB: 5139030.676589018, (exp UB:4983959.315301035),  Gap: -3.11,  Fixed x: True,  Fixed thetavar: True  
